"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","VITALIA CRUNCH MUESLI ME LULESHTRYDHE DHE COKOLLATE 600G",429,"VITALIA CRUNCH MUESLI ME LULESHTRYDHE DHE COKOLLATE 600G","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM29756.jpg","cope","",""
"","VITALIA DEMERA.SHEQER. KAF 500GR",280,"VITALIA DEMERA.SHEQER. KAF 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM02580.jpg","cope","",""
"","VITALIA MUESLI LAJTHI&MOLLE CA+MG 375GR",269,"VITALIA MUESLI LAJTHI&MOLLE CA+MG 375GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM04233.jpg","cope","",""
"","VITALIA TERSHERE 480GR",219,"VITALIA TERSHERE 480GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm02587.jpg","cope","",""
"","VITALIA MUESLI TROPICAL 35% FRUTA 750GR",389,"VITALIA MUESLI TROPICAL 35% FRUTA 750GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM04231.jpg","cope","",""
"","VITALIA TERSHERE 500GR",159,"VITALIA TERSHERE 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm26689.jpg","cope","",""
"","ZUEGG RECEL AMARENE 320GR",289,"ZUEGG RECEL AMARENE 320GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM29369.jpg","cope","",""
"","ZUEGG RECEL FRUTA PYLLI 320GR",309,"ZUEGG RECEL FRUTA PYLLI 320GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM30205.jpg","cope","",""
"","ZUEGG RECEL FRUTA PYLLI 700 GR",359,"ZUEGG RECEL FRUTA PYLLI 700 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/FP.jpg","cope","",""
"","TEUTA MUESLI ME FRUTA TE THATA & FARA CHIA 350G",249,"TEUTA MUESLI ME FRUTA TE THATA & FARA CHIA 350G","https://bli.ecomarket.al/wp-content/uploads/2020/04/TEUTA-MUESLI-ME-FRUTA-TE-THATA-FARA-CHIA-350G.png","cope","",""
"","ZUEGG RECEL KAJSIE 320 GR",289,"ZUEGG RECEL KAJSIE 320 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/KAJSI.jpg","cope","",""
